,feature,X,C,Xi,Ci,Probability
223,habitat,g,e,1399,4187,0.33412944829233343
224,habitat,m,p,36,3906,0.009216589861751152
225,habitat,m,e,251,4187,0.059947456412706
226,habitat,d,p,1264,3906,0.3236047107014849
227,habitat,d,e,1876,4187,0.4480534989252448
228,habitat,p,p,1006,3906,0.257552483358935
229,habitat,p,e,136,4187,0.032481490327203245
230,habitat,w,p,0,3906,0.00025588536335721597
231,habitat,w,e,192,4187,0.04585622163840459
232,habitat,l,p,591,3906,0.15130568356374807
233,habitat,l,e,238,4187,0.05684260807260568
234,class_label,p,p,3906,3906,1.0
235,class_label,p,e,0,4187,0.00023872045834328001
236,class_label,e,p,0,3906,0.00025588536335721597
237,class_label,e,e,4187,4187,1.0
